VACUOLARMEMBRANE,24466,"{'rfp', 'gfp'}"
ER,3553,"{'rfp', 'gfp'}"
CELLPERIPHERY,3506,"{'rfp', 'gfp'}"
MITOCHONDRIA,16837,"{'rfp', 'gfp'}"
MITOCHONDRIA,24184,"{'rfp', 'gfp'}"
NUCLEI,24951,"{'rfp', 'gfp'}"
ER,5859,"{'rfp', 'gfp'}"
CELLPERIPHERY,19924,"{'rfp', 'gfp'}"
CYTOPLASM,10773,"{'rfp', 'gfp'}"
PEROXISOME,1853,"{'rfp', 'gfp'}"
CYTOPLASM,11755,"{'rfp', 'gfp'}"
NUCLEOLUS,14666,"{'rfp', 'gfp'}"
CYTOPLASM,19549,"{'rfp', 'gfp'}"
ENDOSOME,12120,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,21632,"{'rfp', 'gfp'}"
CYTOPLASM,11506,"{'rfp', 'gfp'}"
CYTOPLASM,10602,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,10813,"{'rfp', 'gfp'}"
ENDOSOME,21994,"{'rfp', 'gfp'}"
MITOCHONDRIA,16043,"{'rfp', 'gfp'}"
ENDOSOME,21275,"{'rfp', 'gfp'}"
NUCLEI,27719,"{'rfp', 'gfp'}"
CYTOPLASM,29104,"{'rfp', 'gfp'}"
SPINDLEPOLE,29428,"{'rfp', 'gfp'}"
NUCLEI,7991,"{'rfp', 'gfp'}"
MITOCHONDRIA,4415,"{'rfp', 'gfp'}"
VACUOLE,21236,"{'rfp', 'gfp'}"
ENDOSOME,1157,"{'rfp', 'gfp'}"
NUCLEI,28717,"{'rfp', 'gfp'}"
ER,24850,"{'rfp', 'gfp'}"
NUCLEI,17974,"{'rfp', 'gfp'}"
SPINDLEPOLE,22446,"{'rfp', 'gfp'}"
BUDNECK,522,"{'rfp', 'gfp'}"
VACUOLE,23367,"{'rfp', 'gfp'}"
MITOCHONDRIA,23992,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,438,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,21342,"{'rfp', 'gfp'}"
PEROXISOME,10189,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,1095,"{'rfp', 'gfp'}"
ER,23768,"{'rfp', 'gfp'}"
GOLGI,15329,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,5298,"{'rfp', 'gfp'}"
ER,26299,"{'rfp', 'gfp'}"
SPINDLEPOLE,247,"{'rfp', 'gfp'}"
MITOCHONDRIA,13541,"{'rfp', 'gfp'}"
CELLPERIPHERY,13951,"{'rfp', 'gfp'}"
ER,4980,"{'rfp', 'gfp'}"
NUCLEI,12940,"{'rfp', 'gfp'}"
MITOCHONDRIA,24553,"{'rfp', 'gfp'}"
NUCLEI,19665,"{'rfp', 'gfp'}"
SPINDLEPOLE,13655,"{'rfp', 'gfp'}"
ER,10475,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,25543,"{'rfp', 'gfp'}"
NUCLEI,30740,"{'rfp', 'gfp'}"
VACUOLE,21659,"{'rfp', 'gfp'}"
VACUOLE,15635,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,9879,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,29267,"{'rfp', 'gfp'}"
SPINDLEPOLE,6399,"{'rfp', 'gfp'}"
ER,28805,"{'rfp', 'gfp'}"
MITOCHONDRIA,16684,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,16544,"{'rfp', 'gfp'}"
NUCLEOLUS,3142,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,26828,"{'rfp', 'gfp'}"
NUCLEI,24078,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,5674,"{'rfp', 'gfp'}"
VACUOLE,26334,"{'rfp', 'gfp'}"
SPINDLEPOLE,10007,"{'rfp', 'gfp'}"
ER,29175,"{'rfp', 'gfp'}"
GOLGI,1676,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,12750,"{'rfp', 'gfp'}"
ENDOSOME,121,"{'rfp', 'gfp'}"
BUDTIP,14196,"{'rfp', 'gfp'}"
ENDOSOME,756,"{'rfp', 'gfp'}"
ER,8817,"{'rfp', 'gfp'}"
NUCLEOLUS,28008,"{'rfp', 'gfp'}"
ACTIN,25216,"{'rfp', 'gfp'}"
SPINDLEPOLE,28802,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,18642,"{'rfp', 'gfp'}"
ACTIN,1349,"{'rfp', 'gfp'}"
GOLGI,29916,"{'rfp', 'gfp'}"
MITOCHONDRIA,11624,"{'rfp', 'gfp'}"
ENDOSOME,21074,"{'rfp', 'gfp'}"
SPINDLEPOLE,15639,"{'rfp', 'gfp'}"
ER,22630,"{'rfp', 'gfp'}"
ER,24320,"{'rfp', 'gfp'}"
ACTIN,15617,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,4257,"{'rfp', 'gfp'}"
MITOCHONDRIA,2878,"{'rfp', 'gfp'}"
MITOCHONDRIA,16974,"{'rfp', 'gfp'}"
MITOCHONDRIA,27070,"{'rfp', 'gfp'}"
NUCLEI,15535,"{'rfp', 'gfp'}"
MITOCHONDRIA,10573,"{'rfp', 'gfp'}"
NUCLEOLUS,417,"{'rfp', 'gfp'}"
CYTOPLASM,23976,"{'rfp', 'gfp'}"
NUCLEOLUS,14040,"{'rfp', 'gfp'}"
ER,26340,"{'rfp', 'gfp'}"
SPINDLEPOLE,6915,"{'rfp', 'gfp'}"
ENDOSOME,13791,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,13364,"{'rfp', 'gfp'}"
NUCLEI,15292,"{'rfp', 'gfp'}"
NUCLEI,8916,"{'rfp', 'gfp'}"
MITOCHONDRIA,10415,"{'rfp', 'gfp'}"
ER,19043,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,22392,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,6929,"{'rfp', 'gfp'}"
ER,8641,"{'rfp', 'gfp'}"
ACTIN,5941,"{'rfp', 'gfp'}"
PEROXISOME,995,"{'rfp', 'gfp'}"
SPINDLEPOLE,5163,"{'rfp', 'gfp'}"
MITOCHONDRIA,20191,"{'rfp', 'gfp'}"
MITOCHONDRIA,15774,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,2140,"{'rfp', 'gfp'}"
NUCLEI,27711,"{'rfp', 'gfp'}"
ENDOSOME,30087,"{'rfp', 'gfp'}"
ER,3395,"{'rfp', 'gfp'}"
PEROXISOME,6904,"{'rfp', 'gfp'}"
MITOCHONDRIA,23973,"{'rfp', 'gfp'}"
ACTIN,1911,"{'rfp', 'gfp'}"
ENDOSOME,29749,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,12619,"{'rfp', 'gfp'}"
ENDOSOME,15846,"{'rfp', 'gfp'}"
GOLGI,7898,"{'rfp', 'gfp'}"
MITOCHONDRIA,5955,"{'rfp', 'gfp'}"
MITOCHONDRIA,30561,"{'rfp', 'gfp'}"
NUCLEOLUS,26332,"{'rfp', 'gfp'}"
GOLGI,9497,"{'rfp', 'gfp'}"
NUCLEOLUS,218,"{'rfp', 'gfp'}"
ER,22110,"{'rfp', 'gfp'}"
SPINDLEPOLE,8813,"{'rfp', 'gfp'}"
SPINDLEPOLE,17467,"{'rfp', 'gfp'}"
ACTIN,8428,"{'rfp', 'gfp'}"
MITOCHONDRIA,29353,"{'rfp', 'gfp'}"
NUCLEI,11483,"{'rfp', 'gfp'}"
NUCLEOLUS,3003,"{'rfp', 'gfp'}"
SPINDLEPOLE,7200,"{'rfp', 'gfp'}"
ENDOSOME,29808,"{'rfp', 'gfp'}"
BUDNECK,5542,"{'rfp', 'gfp'}"
NUCLEOLUS,29689,"{'rfp', 'gfp'}"
ER,3616,"{'rfp', 'gfp'}"
MITOCHONDRIA,29089,"{'rfp', 'gfp'}"
MITOCHONDRIA,4326,"{'rfp', 'gfp'}"
BUDNECK,16984,"{'rfp', 'gfp'}"
GOLGI,10393,"{'rfp', 'gfp'}"
BUDTIP,9097,"{'rfp', 'gfp'}"
NUCLEI,26168,"{'rfp', 'gfp'}"
NUCLEOLUS,6913,"{'rfp', 'gfp'}"
ENDOSOME,16219,"{'rfp', 'gfp'}"
GOLGI,19454,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,2900,"{'rfp', 'gfp'}"
ER,29991,"{'rfp', 'gfp'}"
NUCLEI,7078,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,19591,"{'rfp', 'gfp'}"
NUCLEI,1935,"{'rfp', 'gfp'}"
ENDOSOME,3991,"{'rfp', 'gfp'}"
VACUOLE,6377,"{'rfp', 'gfp'}"
NUCLEI,27482,"{'rfp', 'gfp'}"
NUCLEI,22564,"{'rfp', 'gfp'}"
ER,29306,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,19706,"{'rfp', 'gfp'}"
SPINDLEPOLE,17582,"{'rfp', 'gfp'}"
VACUOLE,27808,"{'rfp', 'gfp'}"
ENDOSOME,6043,"{'rfp', 'gfp'}"
NUCLEOLUS,12146,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,9238,"{'rfp', 'gfp'}"
ER,8502,"{'rfp', 'gfp'}"
NUCLEOLUS,28956,"{'rfp', 'gfp'}"
NUCLEI,14778,"{'rfp', 'gfp'}"
NUCLEOLUS,8795,"{'rfp', 'gfp'}"
NUCLEARPERIPHERY,14208,"{'rfp', 'gfp'}"
NUCLEI,30359,"{'rfp', 'gfp'}"
MITOCHONDRIA,20703,"{'rfp', 'gfp'}"
NUCLEOLUS,12194,"{'rfp', 'gfp'}"
VACUOLARMEMBRANE,19792,"{'rfp', 'gfp'}"
GOLGI,3893,"{'rfp', 'gfp'}"
