4133,5,"['G2/4133_Ch3.ome.jpg', 'G2/4133_Ch4.ome.jpg', 'G2/4133_Ch6.ome.jpg']"
35358,4,"['G1/35358_Ch3.ome.jpg', 'G1/35358_Ch4.ome.jpg', 'G1/35358_Ch6.ome.jpg']"
36944,6,"['S/36944_Ch3.ome.jpg', 'S/36944_Ch4.ome.jpg', 'S/36944_Ch6.ome.jpg']"
12775,5,"['G2/12775_Ch3.ome.jpg', 'G2/12775_Ch4.ome.jpg', 'G2/12775_Ch6.ome.jpg']"
139,4,"['G1/139_Ch3.ome.jpg', 'G1/139_Ch4.ome.jpg', 'G1/139_Ch6.ome.jpg']"
43900,5,"['G2/43900_Ch3.ome.jpg', 'G2/43900_Ch4.ome.jpg', 'G2/43900_Ch6.ome.jpg']"
8463,6,"['S/8463_Ch3.ome.jpg', 'S/8463_Ch4.ome.jpg', 'S/8463_Ch6.ome.jpg']"
18618,4,"['G1/18618_Ch3.ome.jpg', 'G1/18618_Ch4.ome.jpg', 'G1/18618_Ch6.ome.jpg']"
45066,5,"['G2/45066_Ch3.ome.jpg', 'G2/45066_Ch4.ome.jpg', 'G2/45066_Ch6.ome.jpg']"
26476,6,"['S/26476_Ch3.ome.jpg', 'S/26476_Ch4.ome.jpg', 'S/26476_Ch6.ome.jpg']"
17476,6,"['S/17476_Ch3.ome.jpg', 'S/17476_Ch4.ome.jpg', 'S/17476_Ch6.ome.jpg']"
27985,5,"['G2/27985_Ch3.ome.jpg', 'G2/27985_Ch4.ome.jpg', 'G2/27985_Ch6.ome.jpg']"
49731,6,"['S/49731_Ch3.ome.jpg', 'S/49731_Ch4.ome.jpg', 'S/49731_Ch6.ome.jpg']"
42645,2,"['Prophase/42645_Ch3.ome.jpg', 'Prophase/42645_Ch4.ome.jpg', 'Prophase/42645_Ch6.ome.jpg']"
14999,6,"['S/14999_Ch3.ome.jpg', 'S/14999_Ch4.ome.jpg', 'S/14999_Ch6.ome.jpg']"
31211,6,"['S/31211_Ch3.ome.jpg', 'S/31211_Ch4.ome.jpg', 'S/31211_Ch6.ome.jpg']"
455,2,"['Prophase/455_Ch3.ome.jpg', 'Prophase/455_Ch4.ome.jpg', 'Prophase/455_Ch6.ome.jpg']"
18040,6,"['S/18040_Ch3.ome.jpg', 'S/18040_Ch4.ome.jpg', 'S/18040_Ch6.ome.jpg']"
33757,6,"['S/33757_Ch3.ome.jpg', 'S/33757_Ch4.ome.jpg', 'S/33757_Ch6.ome.jpg']"
5375,5,"['G2/5375_Ch3.ome.jpg', 'G2/5375_Ch4.ome.jpg', 'G2/5375_Ch6.ome.jpg']"
47652,6,"['S/47652_Ch3.ome.jpg', 'S/47652_Ch4.ome.jpg', 'S/47652_Ch6.ome.jpg']"
36940,2,"['Prophase/36940_Ch3.ome.jpg', 'Prophase/36940_Ch4.ome.jpg', 'Prophase/36940_Ch6.ome.jpg']"
2420,6,"['S/2420_Ch3.ome.jpg', 'S/2420_Ch4.ome.jpg', 'S/2420_Ch6.ome.jpg']"
46989,6,"['S/46989_Ch3.ome.jpg', 'S/46989_Ch4.ome.jpg', 'S/46989_Ch6.ome.jpg']"
34124,4,"['G1/34124_Ch3.ome.jpg', 'G1/34124_Ch4.ome.jpg', 'G1/34124_Ch6.ome.jpg']"
25825,4,"['G1/25825_Ch3.ome.jpg', 'G1/25825_Ch4.ome.jpg', 'G1/25825_Ch6.ome.jpg']"
26119,4,"['G1/26119_Ch3.ome.jpg', 'G1/26119_Ch4.ome.jpg', 'G1/26119_Ch6.ome.jpg']"
43652,4,"['G1/43652_Ch3.ome.jpg', 'G1/43652_Ch4.ome.jpg', 'G1/43652_Ch6.ome.jpg']"
25584,4,"['G1/25584_Ch3.ome.jpg', 'G1/25584_Ch4.ome.jpg', 'G1/25584_Ch6.ome.jpg']"
36710,6,"['S/36710_Ch3.ome.jpg', 'S/36710_Ch4.ome.jpg', 'S/36710_Ch6.ome.jpg']"
4004,4,"['G1/4004_Ch3.ome.jpg', 'G1/4004_Ch4.ome.jpg', 'G1/4004_Ch6.ome.jpg']"
18813,4,"['G1/18813_Ch3.ome.jpg', 'G1/18813_Ch4.ome.jpg', 'G1/18813_Ch6.ome.jpg']"
22234,6,"['S/22234_Ch3.ome.jpg', 'S/22234_Ch4.ome.jpg', 'S/22234_Ch6.ome.jpg']"
3894,5,"['G2/3894_Ch3.ome.jpg', 'G2/3894_Ch4.ome.jpg', 'G2/3894_Ch6.ome.jpg']"
46253,4,"['G1/46253_Ch3.ome.jpg', 'G1/46253_Ch4.ome.jpg', 'G1/46253_Ch6.ome.jpg']"
973,6,"['S/973_Ch3.ome.jpg', 'S/973_Ch4.ome.jpg', 'S/973_Ch6.ome.jpg']"
49736,6,"['S/49736_Ch3.ome.jpg', 'S/49736_Ch4.ome.jpg', 'S/49736_Ch6.ome.jpg']"
10818,4,"['G1/10818_Ch3.ome.jpg', 'G1/10818_Ch4.ome.jpg', 'G1/10818_Ch6.ome.jpg']"
40287,4,"['G1/40287_Ch3.ome.jpg', 'G1/40287_Ch4.ome.jpg', 'G1/40287_Ch6.ome.jpg']"
48758,6,"['S/48758_Ch3.ome.jpg', 'S/48758_Ch4.ome.jpg', 'S/48758_Ch6.ome.jpg']"
24488,4,"['G1/24488_Ch3.ome.jpg', 'G1/24488_Ch4.ome.jpg', 'G1/24488_Ch6.ome.jpg']"
444,4,"['G1/444_Ch3.ome.jpg', 'G1/444_Ch4.ome.jpg', 'G1/444_Ch6.ome.jpg']"
27694,6,"['S/27694_Ch3.ome.jpg', 'S/27694_Ch4.ome.jpg', 'S/27694_Ch6.ome.jpg']"
6014,5,"['G2/6014_Ch3.ome.jpg', 'G2/6014_Ch4.ome.jpg', 'G2/6014_Ch6.ome.jpg']"
44846,4,"['G1/44846_Ch3.ome.jpg', 'G1/44846_Ch4.ome.jpg', 'G1/44846_Ch6.ome.jpg']"
48836,6,"['S/48836_Ch3.ome.jpg', 'S/48836_Ch4.ome.jpg', 'S/48836_Ch6.ome.jpg']"
48380,5,"['G2/48380_Ch3.ome.jpg', 'G2/48380_Ch4.ome.jpg', 'G2/48380_Ch6.ome.jpg']"
40613,4,"['G1/40613_Ch3.ome.jpg', 'G1/40613_Ch4.ome.jpg', 'G1/40613_Ch6.ome.jpg']"
3017,5,"['G2/3017_Ch3.ome.jpg', 'G2/3017_Ch4.ome.jpg', 'G2/3017_Ch6.ome.jpg']"
37760,6,"['S/37760_Ch3.ome.jpg', 'S/37760_Ch4.ome.jpg', 'S/37760_Ch6.ome.jpg']"
11105,5,"['G2/11105_Ch3.ome.jpg', 'G2/11105_Ch4.ome.jpg', 'G2/11105_Ch6.ome.jpg']"
41212,5,"['G2/41212_Ch3.ome.jpg', 'G2/41212_Ch4.ome.jpg', 'G2/41212_Ch6.ome.jpg']"
18950,4,"['G1/18950_Ch3.ome.jpg', 'G1/18950_Ch4.ome.jpg', 'G1/18950_Ch6.ome.jpg']"
40037,4,"['G1/40037_Ch3.ome.jpg', 'G1/40037_Ch4.ome.jpg', 'G1/40037_Ch6.ome.jpg']"
27276,5,"['G2/27276_Ch3.ome.jpg', 'G2/27276_Ch4.ome.jpg', 'G2/27276_Ch6.ome.jpg']"
32446,5,"['G2/32446_Ch3.ome.jpg', 'G2/32446_Ch4.ome.jpg', 'G2/32446_Ch6.ome.jpg']"
6515,2,"['Prophase/6515_Ch3.ome.jpg', 'Prophase/6515_Ch4.ome.jpg', 'Prophase/6515_Ch6.ome.jpg']"
25727,4,"['G1/25727_Ch3.ome.jpg', 'G1/25727_Ch4.ome.jpg', 'G1/25727_Ch6.ome.jpg']"
45269,4,"['G1/45269_Ch3.ome.jpg', 'G1/45269_Ch4.ome.jpg', 'G1/45269_Ch6.ome.jpg']"
3980,4,"['G1/3980_Ch3.ome.jpg', 'G1/3980_Ch4.ome.jpg', 'G1/3980_Ch6.ome.jpg']"
33037,6,"['S/33037_Ch3.ome.jpg', 'S/33037_Ch4.ome.jpg', 'S/33037_Ch6.ome.jpg']"
48167,4,"['G1/48167_Ch3.ome.jpg', 'G1/48167_Ch4.ome.jpg', 'G1/48167_Ch6.ome.jpg']"
5091,5,"['G2/5091_Ch3.ome.jpg', 'G2/5091_Ch4.ome.jpg', 'G2/5091_Ch6.ome.jpg']"
39130,5,"['G2/39130_Ch3.ome.jpg', 'G2/39130_Ch4.ome.jpg', 'G2/39130_Ch6.ome.jpg']"
28016,5,"['G2/28016_Ch3.ome.jpg', 'G2/28016_Ch4.ome.jpg', 'G2/28016_Ch6.ome.jpg']"
33725,5,"['G2/33725_Ch3.ome.jpg', 'G2/33725_Ch4.ome.jpg', 'G2/33725_Ch6.ome.jpg']"
14913,4,"['G1/14913_Ch3.ome.jpg', 'G1/14913_Ch4.ome.jpg', 'G1/14913_Ch6.ome.jpg']"
15620,5,"['G2/15620_Ch3.ome.jpg', 'G2/15620_Ch4.ome.jpg', 'G2/15620_Ch6.ome.jpg']"
36707,6,"['S/36707_Ch3.ome.jpg', 'S/36707_Ch4.ome.jpg', 'S/36707_Ch6.ome.jpg']"
4409,5,"['G2/4409_Ch3.ome.jpg', 'G2/4409_Ch4.ome.jpg', 'G2/4409_Ch6.ome.jpg']"
2059,6,"['S/2059_Ch3.ome.jpg', 'S/2059_Ch4.ome.jpg', 'S/2059_Ch6.ome.jpg']"
1381,5,"['G2/1381_Ch3.ome.jpg', 'G2/1381_Ch4.ome.jpg', 'G2/1381_Ch6.ome.jpg']"
22981,4,"['G1/22981_Ch3.ome.jpg', 'G1/22981_Ch4.ome.jpg', 'G1/22981_Ch6.ome.jpg']"
